Size	   Bubble Sort	Selection Sort	Insertion Sort
50	49091.23	16534.95	35150.87
100	33360.46	12785.21	80250.27
150	73141.81	29551.98	18818.426
200	95424.36	36564.434	21933.36
250	144114.3	53974.18	32420.426
300	203350.64	74730.3	44846.965
350	269616.34	99621.2	59550.625
400	347990.2	127710.67	76500.83
450	434690.03	159913.27	95685.9
500	531383.1	194721.78	115614.16
550	636536.4	232225.9	139475.45
600	754610.9	273340.97	164279.98
650	878034.3	320803.53	191306.92
700	1015318.06	366577.84	220667.92
750	1159876.8	421042.9	252333.69
800	1314951.2	475329.4	287030.5
850	1491306.8	537401.5	321445.9
900	1653625.6	595791.8	358081.97
950	1830756.5	659763.2	396391.47
1000	2013922.2	724541.2	435523.38
